index,고시일,구분코드,구분,항목(대)코드,항목(대),항목(중)코드,항목(중),항목(소)코드,항목(소),단위
1,20150529,1,건물개요,1,대지면적,0,,0,,m²
2,20150529,1,건물개요,2,연면적,0,,0,,m²
3,20150529,1,건물개요,3,건축면적,0,,0,,m²
4,20150529,1,건물개요,4,구조,0,,0,,-
5,20150529,1,건물개요,5,건물규모,0,,0,,-
6,20150529,1,건물개요,6,주체,0,,0,,-
7,20150529,2,평가결과,1,에너지요구량,1,난방,0,,kWh/m²yr
8,20150529,2,평가결과,1,에너지요구량,2,냉방,0,,kWh/m²yr
9,20150529,2,평가결과,1,에너지요구량,3,급탕,0,,kWh/m²yr
10,20150529,2,평가결과,1,에너지요구량,4,조명,0,,kWh/m²yr
11,20150529,2,평가결과,1,에너지요구량,5,환기,0,,kWh/m²yr
12,20150529,2,평가결과,1,에너지요구량,6,합계,0,,kWh/m²yr
13,20150529,2,평가결과,2,에너지소요량,1,난방,0,,kWh/m²yr
14,20150529,2,평가결과,2,에너지소요량,2,냉방,0,,kWh/m²yr
15,20150529,2,평가결과,2,에너지소요량,3,급탕,0,,kWh/m²yr
16,20150529,2,평가결과,2,에너지소요량,4,조명,0,,kWh/m²yr
17,20150529,2,평가결과,2,에너지소요량,5,환기,0,,kWh/m²yr
18,20150529,2,평가결과,2,에너지소요량,6,합계,0,,kWh/m²yr
19,20150529,2,평가결과,3,1차에너지소요량,1,난방,0,,kWh/m²yr
20,20150529,2,평가결과,3,1차에너지소요량,2,냉방,0,,kWh/m²yr
21,20150529,2,평가결과,3,1차에너지소요량,3,급탕,0,,kWh/m²yr
22,20150529,2,평가결과,3,1차에너지소요량,4,조명,0,,kWh/m²yr
23,20150529,2,평가결과,3,1차에너지소요량,5,환기,0,,kWh/m²yr
24,20150529,2,평가결과,3,1차에너지소요량,6,합계,0,,kWh/m²yr
25,20150529,2,평가결과,4,등급산출용 1차에너지소요량,1,난방,0,,kWh/m²yr
26,20150529,2,평가결과,4,등급산출용 1차에너지소요량,2,냉방,0,,kWh/m²yr
27,20150529,2,평가결과,4,등급산출용 1차에너지소요량,3,급탕,0,,kWh/m²yr
28,20150529,2,평가결과,4,등급산출용 1차에너지소요량,4,조명,0,,kWh/m²yr
29,20150529,2,평가결과,4,등급산출용 1차에너지소요량,5,환기,0,,kWh/m²yr
30,20150529,2,평가결과,4,등급산출용 1차에너지소요량,6,합계,0,,kWh/m²yr
31,20150529,2,평가결과,5,연간CO₂발생량,1,난방,0,,kgCO₂
32,20150529,2,평가결과,5,연간CO₂발생량,2,냉방,0,,kgCO₂
33,20150529,2,평가결과,5,연간CO₂발생량,3,급탕,0,,kgCO₂
34,20150529,2,평가결과,5,연간CO₂발생량,4,조명,0,,kgCO₂
35,20150529,2,평가결과,5,연간CO₂발생량,5,환기,0,,kgCO₂
36,20150529,2,평가결과,5,연간CO₂발생량,6,합계,0,,kgCO₂
37,20150529,2,평가결과,6,단위면적당CO₂발생량,1,난방,0,,kgCO₂/m²
38,20150529,2,평가결과,6,단위면적당CO₂발생량,2,냉방,0,,kgCO₂/m²
39,20150529,2,평가결과,6,단위면적당CO₂발생량,3,급탕,0,,kgCO₂/m²
40,20150529,2,평가결과,6,단위면적당CO₂발생량,4,조명,0,,kgCO₂/m²
41,20150529,2,평가결과,6,단위면적당CO₂발생량,5,환기,0,,kgCO₂/m²
42,20150529,2,평가결과,6,단위면적당CO₂발생량,6,합계,0,,kgCO₂/m²
43,20150529,3,건축부문 평가항목,1,구조체,1,벽체,1,단열재종류,-
44,20150529,3,건축부문 평가항목,1,구조체,1,벽체,2,열관류율,W/m²K
45,20150529,3,건축부문 평가항목,1,구조체,2,지붕,1,단열재종류,-
46,20150529,3,건축부문 평가항목,1,구조체,2,지붕,2,열관류율,W/m²K
47,20150529,3,건축부문 평가항목,1,구조체,3,바닥,1,단열재종류,-
48,20150529,3,건축부문 평가항목,1,구조체,3,바닥,2,열관류율,W/m²K
49,20150529,3,건축부문 평가항목,1,구조체,4,창호,1,창호종류,-
50,20150529,3,건축부문 평가항목,1,구조체,4,창호,2,열관류율,W/m²K
51,20150529,3,건축부문 평가항목,2,창면적비,1,평균,0,,-
52,20150529,3,건축부문 평가항목,2,창면적비,2,남,0,,-
53,20150529,3,건축부문 평가항목,2,창면적비,3,남동,0,,-
54,20150529,3,건축부문 평가항목,2,창면적비,4,동,0,,-
55,20150529,3,건축부문 평가항목,2,창면적비,5,북동,0,,-
56,20150529,3,건축부문 평가항목,2,창면적비,6,북,0,,-
57,20150529,3,건축부문 평가항목,2,창면적비,7,북서,0,,-
58,20150529,3,건축부문 평가항목,2,창면적비,8,서,0,,-
59,20150529,3,건축부문 평가항목,2,창면적비,9,남서,0,,-
